q,h,u,conc,q_b,u_b,E,D,R_n,Co,Hyp,coeff_3,t_cpu,case,d_median_input,
80.00125313,13.92471739,5.745269429,0.002363734,0.039987854,0.39306415,0.00171369,0.001713691,4.88080202,0.057452694,8,2,41.796875,2c ,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,18.34905465,0.006887404,12,2,22.734375,2d,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,15.11819363,0.009350998,12,2,41.375,2d,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,12.41596388,0.01261389,12,2,64.875,2d,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,9.53058335,0.018580917,12,2,81.9375,2d,0.045,
7.500008226,3.409528259,2.199720212,0.000183027,0.000313312,0.011399255,0.000113847,0.000113847,8.462582518,0.021997202,12,2,80.890625,2d,0.045,
10.00002717,4.036500211,2.477400384,0.00045365,0.00131618,0.040435372,0.000281967,0.000281967,7.771788583,0.024774004,12,2,34.234375,2d,0.045,
12.50005085,4.603338932,2.715431349,0.000679326,0.002557285,0.068871331,0.000421971,0.000421971,7.273017008,0.027154314,12,2,14.84375,2d,0.045,
15.00007856,5.126574571,2.925945648,0.000874906,0.003924089,0.094872622,0.000543162,0.000543162,6.888130234,0.029259457,12,2,15.625,2d,0.045,
20.0001443,6.078850282,3.290119574,0.001205955,0.006866962,0.139958269,0.000747995,0.000747995,6.319817979,0.032901196,12,2,16.453125,2d,0.045,
25.00022181,6.940560179,3.602046688,0.001483515,0.009966759,0.177856182,0.00091944,0.00091944,5.909936587,0.036020467,12,2,36.796875,2d,0.045,
30.00030951,7.736530793,3.877747057,0.0017251,0.013154679,0.210531264,0.001068448,0.001068448,5.593904817,0.038777471,12,2,37,2d,0.045,
40.00051082,9.186311195,4.354360522,0.002136071,0.019674753,0.265054225,0.00132147,0.00132147,5.12767902,0.043543605,12,2,15.53125,2d,0.045,
50.0007417,10.49927397,4.762304693,0.00248247,0.026294732,0.309808913,0.001534284,0.001534285,4.791734804,0.047623047,12,2,16.125,2d,0.045,
60.00099786,11.71283155,5.122672309,0.002785209,0.032961944,0.347997591,0.001719938,0.001719939,4.532889712,0.051226723,12,2,19.140625,2d,0.045,
70.00127592,12.84966007,5.447714222,0.003056118,0.039651119,0.381457999,0.001885804,0.001885806,4.324464675,0.054477142,12,2,18.046875,2d,0.045,
80.0015737,13.9247806,5.745266369,0.00330261,0.046348757,0.411341755,0.002036501,0.002036504,4.151312007,0.057452664,12,2,24.25,2d,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,13.16080729,0.006887404,20,2,11.65625,2e,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,10.84348141,0.009350998,20,2,14.359375,2e,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,8.905314801,0.01261389,20,2,14.453125,2e,0.045,
5.000004973,2.690935768,1.858091536,0.000202895,0.000161009,0.006075827,9.05E-05,9.05E-05,6.831541092,0.018580915,20,2,20.9375,2e,0.045,
7.500029812,3.409539401,2.199719355,0.000812136,0.001423667,0.042374835,0.000361612,0.000361612,6.057776807,0.021997194,20,2,54.65625,2e,0.045,
10.00006308,4.036517593,2.477398613,0.001291327,0.003069624,0.077137836,0.000574134,0.000574134,5.55931015,0.024773986,20,2,50.28125,2e,0.045,
12.50010318,4.603362955,2.715428548,0.001693254,0.004882574,0.107544936,0.000751906,0.000751906,5.199389717,0.027154286,20,2,38.609375,2e,0.045,
15.00014907,5.126605468,2.92594177,0.002043175,0.006789142,0.134230449,0.000906319,0.000906319,4.921637715,0.029259418,20,2,24.640625,2e,0.045,
20.00025559,6.078895062,3.290113645,0.002638611,0.010759727,0.179302813,0.001168307,0.001168308,4.511488874,0.032901136,20,2,35.09375,2e,0.045,
25.00037914,6.940617809,3.602039448,0.003140668,0.014846324,0.216578673,0.001388462,0.001388464,4.215649029,0.036020395,20,2,79.578125,2e,0.045,
30.00051729,7.736599333,3.877739559,0.00357961,0.01899511,0.248483592,0.001580381,0.001580383,3.987523459,0.038777396,20,2,41.828125,2e,0.045,
40.0008311,9.186396205,4.354355091,0.004330209,0.027385446,0.301478841,0.001907359,0.001907362,3.650932192,0.043543551,20,2,86.453125,2e,0.045,
50.00118682,10.49937111,4.762303025,0.004966425,0.035828749,0.344885989,0.002183316,0.002183321,3.408351545,0.04762303,20,2,50.5625,2e,0.045,
60.00157675,11.71293732,5.122675472,0.005524948,0.044286273,0.381916969,0.002424674,0.002424682,3.221409557,0.051226755,20,2,51.625,2e,0.045,
70.00199743,12.84977314,5.447722433,0.006026619,0.052740627,0.414379711,0.002640748,0.002640759,3.070856394,0.054477224,20,2,32.0625,2e,0.045,
80.00244674,13.92490013,5.74527975,0.006484554,0.061183367,0.443395849,0.002837393,0.002837407,2.945761599,0.057452798,20,2,51.1875,2e,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,5.05955609,0.006887404,40,2,40.953125,2f,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,4.168680627,0.009350998,40,2,50.015625,2f,0.045,
2.000003321,1.585556629,1.261388767,0.000569044,8.31E-05,0.003194388,9.74E-05,9.74E-05,3.415627305,0.012613888,40,2,30.109375,2f,0.045,
5.00007963,2.690993571,1.858079366,0.006095057,0.00348089,0.078609275,0.001020108,0.00102011,2.563102865,0.018580794,40,2,24.984375,2f,0.045,
7.500155656,3.409637182,2.199693179,0.009222474,0.0070358,0.125169742,0.001523708,0.001523714,2.247809936,0.021996932,40,2,31.515625,2f,0.045,
10.0002286,4.036643887,2.477362103,0.011771795,0.010762914,0.161490682,0.001924412,0.001924426,2.044126644,0.024773621,40,2,43.234375,2f,0.045,
12.50030153,4.603496716,2.715392735,0.013972247,0.014568602,0.191423981,0.002263264,0.002263289,1.896654312,0.027153927,40,2,40.21875,2f,0.045,
15.0003811,5.126720458,2.925921405,0.015935465,0.018415787,0.217020273,0.002560142,0.00256018,1.782542643,0.029259214,40,2,36.859375,2f,0.045,
15.0003811,5.126720458,2.925921405,0.015935465,0.018415787,0.217020273,0.002560142,0.00256018,1.782542643,0.029259214,40,2,33.34375,2f,0.045,
15.0003811,5.126720458,2.925921405,0.015935465,0.018415787,0.217020273,0.002560142,0.00256018,1.782542643,0.029259214,40,2,37.1875,2f,0.045,
